variable,value,Label
H11,0,No
H11,1,"Yes, last 24 hours"
H11,2,"Yes, last two weeks"
H11,8,Don't know
H11B,Variable Label,Blood in the stools
H11B,0,No
H11B,1,Yes
H11B,8,Don't know
H12A,Variable Label,Diarrhea: government hospital
H12A,0,No
H12A,1,Yes
H12B,Variable Label,Diarrhea: government health center
H12B,0,No
H12B,1,Yes
H12C,Variable Label,Diarrhea: government health care clinic
H12C,0,No
H12C,1,Yes
H12D,Variable Label,Diarrhea: outreach point
H12D,0,No
H12D,1,Yes
H12E,Variable Label,Diarrhea: other public sector
H12E,0,No
H12E,1,Yes
H12F,Variable Label,NA - Diarrhea: CS public sector
H12F,0,No
H12F,1,Yes
H12G,Variable Label,NA - Diarrhea: CS public sector
H12G,0,No
H12G,1,Yes
H12H,Variable Label,NA - Diarrhea: CS public sector
H12H,0,No
H12H,1,Yes
H12I,Variable Label,NA - Diarrhea: CS public sector
H12I,0,No
H12I,1,Yes
H12J,Variable Label,Diarrhea: private hospital
H12J,0,No
H12J,1,Yes
H12K,Variable Label,Diarrhea: private pharmacy
H12K,0,No
H12K,1,Yes
H12L,Variable Label,Diarrhea: private doctor
H12L,0,No
H12L,1,Yes
H12M,Variable Label,Diarrhea: private clinic
H12M,0,No
H12M,1,Yes
H12N,Variable Label,Diarrhea: other private medical sector
H12N,0,No
H12N,1,Yes
H12O,Variable Label,NA - Diarrhea: CS private medical
H12O,0,No
H12O,1,Yes
H12P,Variable Label,NA - Diarrhea: CS private medical
H12P,0,No
H12P,1,Yes
H12Q,Variable Label,NA - Diarrhea: CS private medical
H12Q,0,No
H12Q,1,Yes
H12R,Variable Label,NA - Diarrhea: CS private medical
H12R,0,No
H12R,1,Yes
H12S,Variable Label,Diarrhea: shop
H12S,0,No
H12S,1,Yes
H12T,Variable Label,Diarrhea: traditional practitioner
H12T,0,No
H12T,1,Yes
H12U,Variable Label,Diarrhea: market
H12U,0,No
H12U,1,Yes
H12V,Variable Label,NA - Diarrhea: CS other sector
H12V,0,No
H12V,1,Yes
H12W,Variable Label,NA - Diarrhea: CS other sector
H12W,0,No
H12W,1,Yes
H12X,Variable Label,Diarrhea: Other
H12X,0,No
H12X,1,Yes
H12Y,Variable Label,Diarrhea: no treatment
H12Y,0,No: received treatment
H12Y,1,Yes: no treatment
H12Z,Variable Label,Diarrhea: medical treatment
H12Z,0,No
H12Z,1,Yes
H13,Variable Label,Given oral rehydration
H13,0,No
H13,1,Yes: ORS - spontaneous
H13,2,Yes: ORS - probed
H13,8,Don't know
H13B,Variable Label,NA - Given pre-packaged ORS liquid
H13B,0,No
H13B,1,Yes
H13B,8,Don't know
H14,Variable Label,Given recommended home solution
H14,0,No
H14,1,Yes: RHS - spontaneous
H14,2,Yes: RHS - probed
H14,8,Don't know
H15,Variable Label,Given antibiotic pills or syrups
H15,0,No
H15,1,Yes
H15,8,Don't know
H15A,Variable Label,Given antimotility
H15A,0,No
H15A,1,Yes
H15A,8,Don't know
H15B,Variable Label,Given antibiotic injection
H15B,0,No
H15B,1,Yes
H15B,8,Don't know
H15C,Variable Label,Given intravenous (IV)
H15C,0,No
H15C,1,Yes
H15C,8,Don't know
H15D,Variable Label,"Given home remedy, herbal medicine"
H15D,0,No
H15D,1,Yes
H15D,8,Don't know
H15E,Variable Label,Given zinc
H15E,0,No
H15E,1,Yes
H15E,8,Don't know
H15F,Variable Label,"Given other (not antibiotic, antimotility, zinc)"
H15F,0,No
H15F,1,Yes
H15F,8,Don't know
H15G,Variable Label,Given unknown pill or syrup
H15G,0,No
H15G,1,Yes
H15G,8,Don't know
H15H,Variable Label,Given non-antibiotic injection
H15H,0,No
H15H,1,Yes
H15H,8,Don't know
H15I,Variable Label,Given unknown injection
H15I,0,No
H15I,1,Yes
H15I,8,Don't know
H15J,Variable Label,NA - Given CS
H15J,0,No
H15J,1,Yes
H15J,8,Don't know
H15K,Variable Label,NA - Given CS
H15K,0,No
H15K,1,Yes
H15K,8,Don't know
H15L,Variable Label,NA - Given CS
H15L,0,No
H15L,1,Yes
H15L,8,Don't know
H15M,Variable Label,NA - Given CS
H15M,0,No
H15M,1,Yes
H15M,8,Don't know
H2,Variable Label,Received BCG
H2,0,No
H2,1,Vaccination date on card
H2,2,Reported by mother
H2,3,Vaccination marked on card
H2,8,Don't know
H20,Variable Label,Given other treatment
H20,0,No
H20,1,Yes
H20,8,Don't know
H21,Variable Label,Received any treatment
H21,0,No
H21,1,Yes
H21A,Variable Label,Given no treatment
H21A,0,No: received treatment
H21A,1,Yes: no treatment
H21A,8,Don't know
H22,Variable Label,Had fever in last two weeks
H22,0,No
H22,1,Yes
H22,8,Don't know
H2D,Variable Label,BCG day
H2D,97,Inconsistent
H2D,98,Don't know
H2M,Variable Label,BCG month
H2M,97,Inconsistent
H2M,98,Don't know
H2Y,Variable Label,BCG year
H2Y,9997,Inconsistent
H2Y,9998,Don't know
H3,Variable Label,Received DPT 1
H3,0,No
H3,1,Vaccination date on card
H3,2,Reported by mother
H3,3,Vaccination marked on card
H3,8,Don't know
H31,Variable Label,Had cough in last two weeks
H31,0,No
H31,1,"Yes, last 24 hours"
H31,2,"Yes, last two weeks"
H31,8,Don't know
H31B,Variable Label,"Short, rapid breaths"
H31B,0,No
H31B,1,Yes
H31B,8,Don't know
H31C,Variable Label,Problem in the chest or blocked or running nose
H31C,1,Chest only
H31C,2,Nose only
H31C,3,Both
H31C,6,Other
H31C,8,Don't know
H31D,Variable Label,Had fever/cough in last 2 weeks: amount offered to drink
H31D,0,Nothing to drink
H31D,2,Much less
H31D,3,Somewhat less
H31D,4,About the same
H31D,5,More
H31D,8,Don't know
H31E,Variable Label,Had fever/cough in last 2 weeks: amount offered to eat
H31E,0,Stopped food
H31E,1,Never gave food
H31E,2,Much less
H31E,3,Somewhat less
H31E,4,About the same
H31E,5,More
H31E,8,Don't know
H32A,Variable Label,Fever/cough: government hospital
H32A,0,No
H32A,1,Yes
H32B,Variable Label,Fever/cough: government health center
H32B,0,No
H32B,1,Yes
H32C,Variable Label,Fever/cough: government health care clinic
H32C,0,No
H32C,1,Yes
H32D,Variable Label,Fever/cough: outreach point
H32D,0,No
H32D,1,Yes
H32E,Variable Label,Fever/cough: other public sector
H32E,0,No
H32E,1,Yes
H32F,Variable Label,NA - Fever/cough: CS public sector
H32F,0,No
H32F,1,Yes
H32G,Variable Label,NA - Fever/cough: CS public sector
H32G,0,No
H32G,1,Yes
H32H,Variable Label,NA - Fever/cough: CS public sector
H32H,0,No
H32H,1,Yes
H32I,Variable Label,NA - Fever/cough: CS public sector
H32I,0,No
H32I,1,Yes
H32J,Variable Label,Fever/cough: private hospital
H32J,0,No
H32J,1,Yes
H32K,Variable Label,Fever/cough: private pharmacy
H32K,0,No
H32K,1,Yes
H32L,Variable Label,Fever/cough: private doctor
H32L,0,No
H32L,1,Yes
H32M,Variable Label,Fever/cough: private clinic
H32M,0,No
H32M,1,Yes
H32N,Variable Label,Fever/cough: other private medical sector
H32N,0,No
H32N,1,Yes
H32O,Variable Label,NA - Fever/cough: CS private medical
H32O,0,No
H32O,1,Yes
H32P,Variable Label,NA - Fever/cough: CS private medical
H32P,0,No
H32P,1,Yes
H32Q,Variable Label,NA - Fever/cough: CS private medical
H32Q,0,No
H32Q,1,Yes
H32R,Variable Label,NA - Fever/cough: CS private medical
H32R,0,No
H32R,1,Yes
H32S,Variable Label,Fever/cough: shop
H32S,0,No
H32S,1,Yes
H32T,Variable Label,Fever/cough: traditional practitioner
H32T,0,No
H32T,1,Yes
H32U,Variable Label,Fever/cough: market
H32U,0,No
H32U,1,Yes
H32V,Variable Label,NA - Fever/cough: CS other sector
H32V,0,No
H32V,1,Yes
H32W,Variable Label,NA - Fever/cough: CS other sector
H32W,0,No
H32W,1,Yes
H32X,Variable Label,Fever/cough: other
H32X,0,No
H32X,1,Yes
H32Y,Variable Label,Fever/cough: no treatment
H32Y,0,No: received treatment
H32Y,1,Yes: no treatment
H32Z,Variable Label,Fever/cough: medical treatment
H32Z,0,No
H32Z,1,Yes
H33,Variable Label,Received Vitamin A1 (most recent)
H33,0,No
H33,1,Vaccination date on card
H33,2,Reported by mother
H33,3,Vaccination marked on card
H33,8,Don't know
H33D,Variable Label,Vitamin A1 day
H33D,97,Inconsistent
H33D,98,Don't know
H33M,Variable Label,Vitamin A1 month
H33M,97,Inconsistent
H33M,98,Don't know
H33Y,Variable Label,Vitamin A1 year
H33Y,9997,Inconsistent
H33Y,9998,Don't know
H34,Variable Label,Vitamin A in last 6 months
H34,0,No
H34,1,Yes
H34,8,Don't know
H35,Variable Label,NA - Any vaccinations in last 2 years part of campaign
H35,0,No
H35,1,Yes
H35,2,No vaccination in last 2 years
H35,8,Don't know
H36A,Variable Label,NA - Vaccinated during Campaign A
H36A,0,No
H36A,1,Yes
H36A,8,Don't know
H36B,Variable Label,NA - Vaccinated during Campaign B
H36B,0,No
H36B,1,Yes
H36B,8,Don't know
H36C,Variable Label,NA - Vaccinated during Campaign C
H36C,0,No
H36C,1,Yes
H36C,8,Don't know
H36D,Variable Label,NA - Vaccinated during Campaign D
H36D,0,No
H36D,1,Yes
H36D,8,Don't know
H36E,Variable Label,NA - Vaccinated during Campaign E
H36E,0,No
H36E,1,Yes
H36E,8,Don't know
H36F,Variable Label,NA - Vaccinated during Campaign F
H36F,0,No
H36F,1,Yes
H36F,8,Don't know
H37A,Variable Label,NA - SP/Fansidar taken for fever/cough
H37A,0,No
H37A,1,Yes
H37B,Variable Label,NA - Chloroquine taken for fever/cough
H37B,0,No
H37B,1,Yes
H37C,Variable Label,NA - Amodiaquine taken for fever/cough
H37C,0,No
H37C,1,Yes
H37D,Variable Label,NA - Quinine taken for fever/cough
H37D,0,No
H37D,1,Yes
H37E,Variable Label,NA - Combination with artemisinin taken for fever/cough
H37E,0,No
H37E,1,Yes
H37F,Variable Label,NA - CS antimalarial taken for fever/cough
H37F,0,No
H37F,1,Yes
H37G,Variable Label,NA - CS antimalarial taken for fever/cough
H37G,0,No
H37G,1,Yes
H37H,Variable Label,NA - Other antimalarial taken for fever/cough
H37H,0,No
H37H,1,Yes
H37I,Variable Label,NA - Antibiotic pill/syrup taken for fever/cough
H37I,0,No
H37I,1,Yes
H37J,Variable Label,NA - Antibiotic injection taken for fever/cough
H37J,0,No
H37J,1,Yes
H37K,Variable Label,NA - Aspirin taken for fever/cough
H37K,0,No
H37K,1,Yes
H37L,Variable Label,NA - Acetaminophen/paracetamol/panadol taken for fever/cough
H37L,0,No
H37L,1,Yes
H37M,Variable Label,NA - Ibuprofen taken for fever/cough
H37M,0,No
H37M,1,Yes
H37N,Variable Label,NA - CS other taken for fever/cough
H37N,0,No
H37N,1,Yes
H37O,Variable Label,NA - CS other for fever/cough
H37O,0,No
H37O,1,Yes
H37P,Variable Label,NA - CS other for fever/cough
H37P,0,No
H37P,1,Yes
H37X,Variable Label,NA - Other taken for fever/cough
H37X,0,No
H37X,1,Yes
H37Y,Variable Label,NA - Nothing taken for fever/cough
H37Y,0,No
H37Y,1,"Yes, nothing taken"
H37Z,Variable Label,NA - Don't know if or what was taken for fever/cough
H37Z,0,No
H37Z,1,"Yes, don't know"
H38,Variable Label,Diarrhea in last 2 weeks: amount offered to drink
H38,0,Nothing to drink
H38,2,Much less
H38,3,Somewhat less
H38,4,About the same
H38,5,More
H38,8,Don't know
H39,Variable Label,Diarrhea in last 2 weeks: amount offered to eat
H39,0,Stopped food
H39,1,Never gave food
H39,2,Much less
H39,3,Somewhat less
H39,4,About the same
H39,5,More
H39,8,Don't know
H3D,Variable Label,DPT 1 day
H3D,97,Inconsistent
H3D,98,Don't know
H3M,Variable Label,DPT 1 month
H3M,97,Inconsistent
H3M,98,Don't know
H3Y,Variable Label,DPT 1 year
H3Y,9997,Inconsistent
H3Y,9998,Don't know
H4,Variable Label,Received POLIO 1
H4,0,No
H4,1,Vaccination date on card
H4,2,Reported by mother
H4,3,Vaccination marked on card
H4,8,Don't know
H40,Variable Label,NA - Received Vitamin A2 (2nd most recent)
H40,0,No
H40,1,Vaccination date on card
H40,2,Reported by mother
H40,3,Vaccination marked on card
H40,8,Don't know
H40D,Variable Label,NA - Vitamin A2 day
H40D,97,Inconsistent
H40D,98,Don't know
H40M,Variable Label,NA - Vitamin A2 month
H40M,97,Inconsistent
H40M,98,Don't know
H40Y,Variable Label,NA - Vitamin A2 year
H40Y,9997,Inconsistent
H40Y,9998,Don't know
H41A,Variable Label,NA - Received vitamin A after most recent in card
H41A,0,No
H41A,1,Yes
H41A,8,Don't know
H41B,Variable Label,NA - Ever received Vitamin A dose
H41B,0,No
H41B,1,Yes
H41B,8,Don't know
H42,Variable Label,"NA - Taking iron pills, sprinkles or syrup"
H42,0,No
H42,1,Yes
H42,8,Don't know
H43,Variable Label,Drugs for intestinal parasites in last 6 months
H43,0,No
H43,1,Yes
H43,8,Don't know
H44A,Variable Label,Place first sought treatment for diarrhea
H44A,10,PUBLIC SECTOR
H44A,11,Government hospital
H44A,12,Government health center
H44A,13,Government health care clinic
H44A,14,Outreach point
H44A,15,Other public sector
H44A,20,PRIVATE SECTOR
H44A,21,"Private hospital, clinic"
H44A,22,Private clinic
H44A,23,Pharmacy
H44A,24,Private doctor
H44A,25,Other private medical sector
H44A,30,OTHER
H44A,31,Shop
H44A,32,Traditional practitioner
H44A,33,Market
H44A,96,Other
H44B,Variable Label,NA - Days after diarrhea sought advice or treatment
H44B,0,Same day
H44B,98,Don't know
H44C,Variable Label,NA - Still has diarrhea
H44C,0,No
H44C,1,Yes
H44C,8,Don't know
H45,Variable Label,NA - Times zinc was given
H45,98,Don't know
H46A,Variable Label,Place first sought treatment for fever
H46A,10,PUBLIC SECTOR
H46A,11,Government hospital
H46A,12,Government health center
H46A,13,Government health care clinic
H46A,14,Outreach point
H46A,15,Other public sector
H46A,20,PRIVATE SECTOR
H46A,21,"Private hospital, clinic"
H46A,22,Private clinic
H46A,23,Pharmacy
H46A,24,Private doctor
H46A,25,Other private medical sector
H46A,30,OTHER
H46A,31,Shop
H46A,32,Traditional practitioner
H46A,33,Market
H46A,96,Other
H46B,Variable Label,NA - Days after fever sought advice or treatment
H46B,0,Same day
H46B,98,Don't know
H47,Variable Label,Blood taken from child's finger/heel for testing
H47,0,No
H47,1,Yes
H47,8,Don't know
H4D,Variable Label,POLIO 1 day
H4D,97,Inconsistent
H4D,98,Don't know
H4M,Variable Label,POLIO 1 month
H4M,97,Inconsistent
H4M,98,Don't know
H4Y,Variable Label,POLIO 1 year
H4Y,9997,Inconsistent
H4Y,9998,Don't know
H5,Variable Label,Received DPT 2
H5,0,No
H5,1,Vaccination date on card
H5,2,Reported by mother
H5,3,Vaccination marked on card
H5,8,Don't know
H5D,Variable Label,DPT 2 day
H5D,97,Inconsistent
H5D,98,Don't know
H5M,Variable Label,DPT 2 month
H5M,97,Inconsistent
H5M,98,Don't know
H5Y,Variable Label,DPT 2 year
H5Y,9997,Inconsistent
H5Y,9998,Don't know
H6,Variable Label,Received POLIO 2
H6,0,No
H6,1,Vaccination date on card
H6,2,Reported by mother
H6,3,Vaccination marked on card
H6,8,Don't know
H6D,Variable Label,POLIO 2 day
H6D,97,Inconsistent
H6D,98,Don't know
H6M,Variable Label,POLIO 2 month
H6M,97,Inconsistent
H6M,98,Don't know
H6Y,Variable Label,POLIO 2 year
H6Y,9997,Inconsistent
H6Y,9998,Don't know
H7,Variable Label,Received DPT 3
H7,0,No
H7,1,Vaccination date on card
H7,2,Reported by mother
H7,3,Vaccination marked on card
H7,8,Don't know
H7D,Variable Label,DPT 3 day
H7D,97,Inconsistent
H7D,98,Don't know
H7M,Variable Label,DPT 3 month
H7M,97,Inconsistent
H7M,98,Don't know
H7Y,Variable Label,DPT 3 year
H7Y,9997,Inconsistent
H7Y,9998,Don't know
H8,Variable Label,Received POLIO 3
H8,0,No
H8,1,Vaccination date on card
H8,2,Reported by mother
H8,3,Vaccination marked on card
H8,8,Don't know
H8D,Variable Label,POLIO 3 day
H8D,97,Inconsistent
H8D,98,Don't know
H8M,Variable Label,POLIO 3 month
H8M,97,Inconsistent
H8M,98,Don't know
H8Y,Variable Label,POLIO 3 year
H8Y,9997,Inconsistent
H8Y,9998,Don't know
H9,Variable Label,Received MEASLES
H9,0,No
H9,1,Vaccination date on card
H9,2,Reported by mother
H9,3,Vaccination marked on card
H9,8,Don't know
H9D,Variable Label,MEASLES day
H9D,97,Inconsistent
H9D,98,Don't know
H9M,Variable Label,MEASLES month
H9M,97,Inconsistent
H9M,98,Don't know
H9Y,Variable Label,MEASLES year
H9Y,9997,Inconsistent
H9Y,9998,Don't know
HIDX,Variable Label,Index to birth history
HW1,Variable Label,Child's age in months
HW10,Variable Label,Weight/Height percentile
HW10,9998,Flagged cases
HW11,Variable Label,Weight/Height standard deviation
HW11,9998,Flagged cases
HW12,Variable Label,Weight/Height percent of ref. median
HW12,99998,Flagged cases
HW13,Variable Label,Result of measurement - height/weight
HW13,0,Measured
HW13,1,Dead
HW13,2,Sick
HW13,3,Not present
HW13,4,Refused
HW13,5,Mother refused
HW13,6,Other
HW13,7,No measurement found in household
HW15,Variable Label,Height: lying or standing
HW15,0,Not measured
HW15,1,Lying
HW15,2,Standing
HW16,Variable Label,Day of birth of child
HW16,97,Inconsistent
HW16,98,Don't know
HW17,Variable Label,Date measured (day)
HW18,Variable Label,Date measured (month)
HW19,Variable Label,Date measured (year)
HW2,Variable Label,Child's weight in kilograms (1 decimal)
HW2,9994,Not present
HW2,9995,Refused
HW2,9996,Other
HW3,Variable Label,Child's height in centimeters (1 decimal)
HW3,9994,Not present
HW3,9995,Refused
HW3,9996,Other
HW4,Variable Label,Height/Age percentile
HW4,9998,Flagged cases
HW5,Variable Label,Height/Age standard deviation
HW5,9998,Flagged cases
HW51,Variable Label,Line number of parent/caretaker
HW51,0,Not in household
HW52,Variable Label,Read consent statement - hemoglobin
HW52,1,Granted
HW52,2,Refused
HW53,Variable Label,Hemoglobin level (g/dl - 1 decimal)
HW53,994,Not present
HW53,995,Refused
HW53,996,Other
HW55,Variable Label,Result of measurement - hemoglobin
HW55,0,Measured
HW55,1,Dead
HW55,3,Not present
HW55,4,Refused
HW55,6,Other
HW55,7,No measurement found in household
HW56,Variable Label,Hemoglobin level adjusted for altitude (g/dl - 1 decimal)
HW57,Variable Label,Anemia level
HW57,1,Severe
HW57,2,Moderate
HW57,3,Mild
HW57,4,Not anemic
HW58,Variable Label,NA - Agrees to referral - anemia
HW58,0,No
HW58,1,Yes
HW6,Variable Label,Height/Age percent of ref. median
HW6,99998,Flagged cases
HW7,Variable Label,Weight/Age percentile
HW7,9998,Flagged cases
HW70,Variable Label,Height/Age standard deviation (new WHO)
HW70,9996,Height out of plausible limits
HW70,9997,Age in days out of plausible limits
HW70,9998,Flagged cases
HW71,Variable Label,Weight/Age standard deviation (new WHO)
HW71,9996,Height out of plausible limits
HW71,9997,Age in days out of plausible limits
HW71,9998,Flagged cases
HW72,Variable Label,Weight/Height standard deviation (new WHO)
HW72,9996,Height out of plausible limits
HW72,9997,Age in days out of plausible limits
HW72,9998,Flagged cases
HW73,Variable Label,BMI standard deviation (new WHO)
HW73,9996,Height out of plausible limits
HW73,9997,Age in days out of plausible limits
HW73,9998,Flagged cases
HW8,Variable Label,Weight/Age standard deviation
HW8,9998,Flagged cases
HW9,Variable Label,Weight/Age percent of ref. median
HW9,99998,Flagged cases
HWIDX,Variable Label,Index to Birth History
IDX94,Variable Label,Index to Birth History
IDXML,Variable Label,Index to Birth History
M1,Variable Label,Number of tetanus injections before birth
M1,0,Received no injection
M1,7,7+
M1,8,Don't know
M10,Variable Label,Wanted pregnancy when became pregnant
M10,1,Then
M10,2,Later
M10,3,No more
M11,Variable Label,Desired time would have waited
M11,101,Months: 1
M11,199,Months: number missing
M11,201,Years: 1
M11,299,Years: number missing
M11,998,Don't know
M13,Variable Label,Timing of 1st antenatal check (months)
M13,98,Don't know
M14,Variable Label,Number of antenatal visits during pregnancy
M14,0,No antenatal visits
M14,98,Don't know
M15,Variable Label,Place of delivery
M15,11,Respondent's home
M15,12,Other home
M15,21,Government hospital
M15,22,Government health center
M15,23,Government health care clinic
M15,24,Outreach point
M15,26,Other public
M15,31,Private hospital
M15,32,Private clinic
M15,36,Other private medical
M15,96,Other
M17,Variable Label,Delivery by caesarean section
M17,0,No
M17,1,Yes
M18,Variable Label,Size of child at birth
M18,1,Very large
M18,2,Larger than average
M18,3,Average
M18,4,Smaller than average
M18,5,Very small
M18,8,Don't know
M19,Variable Label,Birth weight in kilograms (3 decimals)
M19,9996,Not weighed at birth
M19,9998,Don't know
M19A,Variable Label,Weight at birth/recall
M19A,0,Not weighed
M19A,1,From written card
M19A,2,From mother's recall
M19A,8,Don't know
M19A,9,Special answers
M1A,Variable Label,Number of tetanus injections before pregnancy
M1A,0,Received no injection
M1A,7,7+
M1A,8,Don't know
M1B,Variable Label,NA - Month of last tetanus injection before pregnancy
M1B,97,Inconsistent
M1B,98,Don't know month
M1C,Variable Label,NA - Year of last tetanus injection before pregnancy
M1C,9997,Inconsistent
M1C,9998,Don't know year
M1D,Variable Label,Years ago received last tetanus injection before pregnancy
M1E,Variable Label,NA - Last tetanus injection before pregnancy (CMC)
M1E,9996,Can't be determined
M27,Variable Label,NA - Flag for breastfeeding
M27,0,No flag
M27,1,> interval
M27,2,> interval by 1 month
M27,3,> age at death
M27,4,During pregnancy in calendar
M28,Variable Label,Flag for amenorrhea
M28,0,No flag
M28,1,> interval
M28,2,> interval by 1 month
M28,4,During pregnancy in calendar
M29,Variable Label,Flag for abstinence
M29,0,No flag
M29,1,> interval
M29,2,> interval by 1 month
M29,4,During pregnancy in calendar
M2A,Variable Label,Prenatal: doctor
M2A,0,No
M2A,1,Yes
M2B,Variable Label,Prenatal: nurse/midwife
M2B,0,No
M2B,1,Yes
M2C,Variable Label,NA - Prenatal: CS health professional
M2C,0,No
M2C,1,Yes
M2D,Variable Label,NA - Prenatal: CS health professional
M2D,0,No
M2D,1,Yes
M2E,Variable Label,NA - Prenatal: CS health professional
M2E,0,No
M2E,1,Yes
M2F,Variable Label,NA - Prenatal: CS health professional
M2F,0,No
M2F,1,Yes
M2G,Variable Label,Prenatal: traditional birth attendant
M2G,0,No
M2G,1,Yes
M2H,Variable Label,Prenatal: community health care provider
M2H,0,No
M2H,1,Yes
M2I,Variable Label,NA - Prenatal: CS other person
M2I,0,No
M2I,1,Yes
M2J,Variable Label,NA - Prenatal: CS other person
M2J,0,No
M2J,1,Yes
M2K,Variable Label,Prenatal: other
M2K,0,No
M2K,1,Yes
M2L,Variable Label,NA - Prenatal: CS other
M2L,0,No
M2L,1,Yes
M2M,Variable Label,NA - Prenatal: CS other
M2M,0,No
M2M,1,Yes
M2N,Variable Label,Prenatal: no one
M2N,0,No: some care
M2N,1,Yes: no care
M34,Variable Label,When child put to breast
M34,0,Immediately
M34,100,Within first hour
M34,101,Hours: 1
M34,199,Hours: number missing
M34,201,Days: 1
M34,299,Days: number missing
M35,Variable Label,NA - Number of times breastfed during previous night
M35,96,On demand
M36,Variable Label,NA - Number of times breastfed during previous day
M36,96,On demand
M38,Variable Label,Drank from bottle with nipple yesterday/last night
M38,0,No
M38,1,Yes
M38,8,Don't know
M39,Variable Label,"Number of times ate solid, semi-solid or soft food yesterday"
M39,0,None
M39,7,7+
M39,8,Don't know
M39A,Variable Label,"Did eat any solid, semi-solid or soft foods yesterday"
M39A,0,No
M39A,1,Yes
M39A,8,Don't know
M3A,Variable Label,Assistance: doctor
M3A,0,No
M3A,1,Yes
M3B,Variable Label,Assistance: nurse/midwife
M3B,0,No
M3B,1,Yes
M3C,Variable Label,NA - Assistance: CS health professional
M3C,0,No
M3C,1,Yes
M3D,Variable Label,NA - Assistance: CS health professional
M3D,0,No
M3D,1,Yes
M3E,Variable Label,NA - Assistance: CS health professional
M3E,0,No
M3E,1,Yes
M3F,Variable Label,NA - Assistance: CS health professional
M3F,0,No
M3F,1,Yes
M3G,Variable Label,Assistance: traditional birth attendant
M3G,0,No
M3G,1,Yes
M3H,Variable Label,Assistance: relative/friend
M3H,0,No
M3H,1,Yes
M3I,Variable Label,NA - Assistance: CS other person
M3I,0,No
M3I,1,Yes
M3J,Variable Label,NA - Assistance: CS other person
M3J,0,No
M3J,1,Yes
M3K,Variable Label,Assistance: other
M3K,0,No
M3K,1,Yes
M3L,Variable Label,NA - Assistance: CS other
M3L,0,No
M3L,1,Yes
M3M,Variable Label,NA - Assistance: CS other
M3M,0,No
M3M,1,Yes
M3N,Variable Label,Assistance: no one
M3N,0,No: some assistance
M3N,1,Yes: no assistance
M4,Variable Label,Duration of breastfeeding
M4,93,"Ever breastfed, not currently breastfeeding"
M4,94,Never breastfed
M4,95,Still breastfeeding
M4,96,Breastfed until died
M4,97,Inconsistent
M4,98,Don't know
M42A,Variable Label,NA - During pregnancy: weighed
M42A,0,No
M42A,1,Yes
M42B,Variable Label,NA - During pregnancy: height measured
M42B,0,No
M42B,1,Yes
M42C,Variable Label,During pregnancy: blood pressure taken
M42C,0,No
M42C,1,Yes
M42D,Variable Label,During pregnancy: urine sample taken
M42D,0,No
M42D,1,Yes
M42E,Variable Label,During pregnancy: blood sample taken
